gene,LTR,RC/Helitron,DNA/TcMar-Stowaway,DNA,LTR/ERVK,DNA/hAT,SINE,DNA/TcMar-Pogo,DNA/hAT-Tip100,LTR/Gypsy,DNA/hAT-Tag1,DNA/hAT-Ac,DNA/Harbinger,LTR/Copia,LINE/L1,DNA/En-Spm,DNA/MuDR,RC/Helitron,LTR/Copia,DNA/MuDR
Model_0_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Model_0_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Model_0_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_64,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
Model_0_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_91,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_95,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_97,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_110,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Model_0_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Model_0_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Model_0_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_181,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Model_0_182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Model_0_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_236,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Model_0_237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Model_0_243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Model_0_265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_277,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Model_0_278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
